wavelength  B V R I atm
624.000 0.000 0.000 0.767 0.000 0.668
625.000 0.000 0.000 0.767 0.000 0.668
626.000 0.000 0.000 0.766 0.000 0.668
627.000 0.000 0.000 0.766 0.000 0.666
628.000 0.000 0.000 0.765 0.000 0.645
629.000 0.000 0.000 0.764 0.000 0.659
630.000 0.000 0.000 0.764 0.000 0.660
631.000 0.000 0.000 0.766 0.000 0.664
632.000 0.000 0.000 0.769 0.000 0.666
633.000 0.000 0.000 0.772 0.000 0.670
634.000 0.000 0.000 0.774 0.000 0.672
635.000 0.000 0.000 0.777 0.000 0.673
636.000 0.000 0.000 0.780 0.000 0.675
637.000 0.000 0.000 0.782 0.000 0.676
638.000 0.000 0.000 0.785 0.000 0.678
639.000 0.000 0.000 0.788 0.000 0.679
640.000 0.000 0.000 0.790 0.000 0.681
641.000 0.000 0.000 0.790 0.000 0.682
642.000 0.000 0.000 0.790 0.000 0.683
643.000 0.000 0.000 0.790 0.000 0.683
644.000 0.000 0.000 0.790 0.000 0.684
645.000 0.000 0.000 0.790 0.000 0.684
646.000 0.000 0.000 0.789 0.000 0.681
647.000 0.000 0.000 0.789 0.000 0.679
648.000 0.000 0.000 0.789 0.000 0.677
649.000 0.000 0.000 0.789 0.000 0.680
650.000 0.000 0.000 0.789 0.000 0.685
651.000 0.000 0.000 0.789 0.000 0.686
652.000 0.000 0.000 0.790 0.000 0.682
653.000 0.000 0.000 0.790 0.000 0.687
654.000 0.000 0.000 0.791 0.000 0.687
655.000 0.000 0.000 0.792 0.000 0.686
656.000 0.000 0.000 0.792 0.000 0.687
657.000 0.000 0.000 0.793 0.000 0.688
658.000 0.000 0.000 0.793 0.000 0.690
659.000 0.000 0.000 0.794 0.000 0.692
660.000 0.000 0.000 0.794 0.000 0.693
661.000 0.000 0.000 0.796 0.000 0.695
662.000 0.000 0.000 0.797 0.000 0.696
663.000 0.000 0.000 0.798 0.000 0.696
664.000 0.000 0.000 0.799 0.000 0.697
665.000 0.000 0.000 0.800 0.000 0.697
666.000 0.000 0.000 0.801 0.000 0.698
667.000 0.000 0.000 0.803 0.000 0.699
668.000 0.000 0.000 0.804 0.000 0.699
669.000 0.000 0.000 0.805 0.000 0.700
670.000 0.000 0.000 0.806 0.000 0.701
671.000 0.000 0.000 0.806 0.000 0.701
672.000 0.000 0.000 0.806 0.000 0.702
673.000 0.000 0.000 0.806 0.000 0.702
