wavelength	g	r	atm
519	0.518	0.0	0.638
520	0.515	0.0	0.639
521	0.518	0.0	0.639
522	0.518	0.0	0.639
523	0.521	0.0	0.64
524	0.521	0.0	0.64
525	0.52	0.0	0.64
526	0.52	0.0	0.64
527	0.519	0.0	0.64
528	0.514	0.0	0.64
529	0.513	0.0	0.64
530	0.512	0.0	0.64
531	0.509	0.0	0.64
532	0.51	0.0	0.641
533	0.515	0.0	0.641
534	0.518	0.0	0.641
535	0.517	0.0	0.642
536	0.52	0.0	0.642
537	0.517	0.0	0.643
538	0.518	0.0	0.643
539	0.518	0.0	0.644
540	0.513	0.0	0.644
541	0.51	0.0	0.644
542	0.505	0.0	0.645
543	0.499	0.0	0.645
544	0.486	0.0	0.645
545	0.44	0.0	0.646
546	0.328	0.0	0.646
547	0.182	0.0	0.646
548	0.086	0.0	0.646
549	0.042	0.0	0.646
550	0.02	0.001	0.647
551	0.01	0.001	0.647
552	0.006	0.001	0.647
553	0.004	0.001	0.647
554	0.002	0.001	0.647
555	0.002	0.001	0.647
556	0.001	0.001	0.647
557	0.001	0.002	0.647
558	0.001	0.002	0.647
559	0.001	0.003	0.647
560	0.001	0.006	0.646
561	0.0	0.01	0.646
562	0.0	0.019	0.646
563	0.0	0.04	0.646
564	0.0	0.086	0.646
565	0.0	0.187	0.645
566	0.0	0.354	0.645
567	0.0	0.462	0.645
568	0.0	0.482	0.643
569	0.0	0.474	0.64
570	0.0	0.475	0.64
571	0.0	0.488	0.642
572	0.0	0.506	0.639
573	0.0	0.525	0.64
574	0.0	0.537	0.64
575	0.0	0.543	0.639
576	0.0	0.545	0.64
577	0.0	0.545	0.641
578	0.0	0.54	0.642
579	0.0	0.539	0.643
580	0.0	0.54	0.645
581	0.0	0.541	0.647
582	0.0	0.543	0.649
583	0.0	0.544	0.65
584	0.0	0.542	0.651
585	0.0	0.543	0.652
586	0.0	0.542	0.653
587	0.0	0.543	0.652
588	0.0	0.54	0.649
589	0.0	0.54	0.643
590	0.0	0.546	0.643
591	0.0	0.552	0.648
592	0.0	0.554	0.646
593	0.0	0.56	0.651
594	0.0	0.561	0.65
595	0.0	0.561	0.647
596	0.0	0.563	0.652
597	0.0	0.561	0.65
598	0.0	0.562	0.652
599	0.0	0.563	0.653
600	0.0	0.565	0.654
601	0.0	0.565	0.655
602	0.0	0.566	0.655
603	0.0	0.564	0.656
604	0.0	0.565	0.657
605	0.0	0.559	0.658
606	0.0	0.556	0.658
607	0.0	0.553	0.659
608	0.0	0.548	0.66
609	0.0	0.549	0.66
610	0.0	0.552	0.661
611	0.0	0.556	0.662
612	0.0	0.558	0.662
613	0.0	0.563	0.663
614	0.0	0.569	0.664
615	0.0	0.573	0.664
616	0.0	0.575	0.665
617	0.0	0.577	0.665
618	0.0	0.578	0.666
619	0.0	0.575	0.666
620	0.0	0.577	0.667
621	0.0	0.575	0.667
622	0.0	0.571	0.667
623	0.0	0.566	0.668
624	0.0	0.562	0.668
625	0.0	0.555	0.668
626	0.0	0.55	0.668
627	0.0	0.541	0.666
628	0.0	0.523	0.645
629	0.0	0.534	0.659
630	0.0	0.534	0.66
631	0.0	0.54	0.664
632	0.0	0.545	0.666
633	0.0	0.552	0.67
634	0.0	0.56	0.672
635	0.0	0.565	0.673
636	0.0	0.568	0.675
637	0.0	0.575	0.676
638	0.0	0.581	0.678
639	0.0	0.581	0.679
640	0.0	0.583	0.681
641	0.0	0.581	0.682
642	0.0	0.584	0.683
643	0.0	0.585	0.683
644	0.0	0.587	0.684
645	0.0	0.588	0.684
646	0.0	0.585	0.681
647	0.0	0.585	0.679
648	0.0	0.587	0.677
649	0.0	0.591	0.68
650	0.0	0.594	0.685
651	0.0	0.593	0.686
652	0.0	0.592	0.682
653	0.0	0.597	0.687
654	0.0	0.594	0.687
655	0.0	0.597	0.686
656	0.0	0.595	0.687
657	0.0	0.599	0.688
658	0.0	0.601	0.69
659	0.0	0.602	0.692
660	0.0	0.601	0.693
661	0.0	0.6	0.695
662	0.0	0.602	0.696
663	0.0	0.603	0.696
664	0.0	0.603	0.697
665	0.0	0.601	0.697
666	0.0	0.602	0.698
667	0.0	0.604	0.699
668	0.0	0.604	0.699
669	0.0	0.602	0.7
670	0.0	0.604	0.701
671	0.0	0.605	0.701
672	0.0	0.605	0.702
673	0.0	0.607	0.702
674	0.0	0.602	0.703
675	0.0	0.601	0.703
676	0.0	0.601	0.704
677	0.0	0.601	0.704
678	0.0	0.599	0.705
679	0.0	0.598	0.705
680	0.0	0.599	0.706
681	0.0	0.598	0.706
682	0.0	0.6	0.706
683	0.0	0.6	0.707
684	0.0	0.598	0.707
685	0.0	0.601	0.707
686	0.0	0.599	0.705
687	0.0	0.52	0.611
688	0.0	0.546	0.64
689	0.0	0.538	0.632
690	0.0	0.551	0.647
691	0.0	0.571	0.669
692	0.0	0.583	0.683
693	0.0	0.584	0.687
694	0.0	0.585	0.686
695	0.0	0.591	0.692
696	0.0	0.59	0.695
697	0.0	0.596	0.706
698	0.0	0.595	0.704
699	0.0	0.589	0.695
700	0.0	0.591	0.697
701	0.0	0.589	0.695
702	0.0	0.585	0.697
703	0.0	0.591	0.705
704	0.0	0.594	0.706
705	0.0	0.59	0.702
706	0.0	0.592	0.703
707	0.0	0.59	0.705
708	0.0	0.591	0.706
709	0.0	0.59	0.709
710	0.0	0.584	0.706
711	0.0	0.574	0.709
712	0.0	0.563	0.712
713	0.0	0.546	0.71
714	0.0	0.527	0.709
715	0.0	0.506	0.707
716	0.0	0.486	0.704
717	0.0	0.454	0.683
718	0.0	0.432	0.671
719	0.0	0.401	0.666
720	0.0	0.359	0.659
721	0.0	0.305	0.69
722	0.0	0.232	0.701
723	0.0	0.161	0.695
724	0.0	0.102	0.678
725	0.0	0.067	0.681
726	0.0	0.043	0.68
727	0.0	0.029	0.683
728	0.0	0.02	0.68
729	0.0	0.014	0.687
730	0.0	0.009	0.686
731	0.0	0.007	0.684
732	0.0	0.005	0.696
733	0.0	0.004	0.706
734	0.0	0.003	0.711
735	0.0	0.002	0.71
736	0.0	0.002	0.707
737	0.0	0.001	0.709
738	0.0	0.001	0.713
739	0.0	0.001	0.714
740	0.0	0.001	0.718
741	0.0	0.001	0.719
742	0.0	0.0	0.72
743	0.0	0.0	0.722
744	0.0	0.0	0.723
745	0.0	0.0	0.724
746	0.0	0.0	0.724
747	0.0	0.0	0.724
748	0.0	0.0	0.725
749	0.0	0.0	0.725
750	0.0	0.0	0.725
