wavelength UVW2 UVM2 UVW1 U B V
375.0 0.054229999999999993 0.0 0.71 46.19 1.24 0.0
376.0 0.055215999999999994 0.0 0.704 46.96 1.54 0.0
377.0 0.055215999999999994 0.0 0.698 46.46 1.94 0.0
378.0 0.056201999999999995 0.0 0.692 44.03 2.45 0.0
379.0 0.056201999999999995 0.0 0.686 41.24 3.1 0.0
380.0 0.057188 0.0 0.68 40.0 3.9 0.0
381.0 0.058174000000000003 0.0 0.675 41.26 4.92 0.0
382.0 0.059160000000000004 0.0 0.67 43.41 6.15 0.0
383.0 0.061132000000000006 0.0 0.665 43.74 7.55 0.0
384.0 0.06211799999999999 0.0 0.66 39.69 9.12 0.0
385.0 0.063104 0.0 0.655 31.42 10.92 0.0
386.0 0.065076 0.0 0.65 21.51 13.07 0.0
387.0 0.066062 0.0 0.646 12.96 15.59 0.0
388.0 0.067048 0.0 0.641 7.27 18.15 0.0
389.0 0.06902 0.0 0.637 4.1 20.11 0.0
390.0 0.070992 0.0 0.633 2.46 20.98 0.0
391.0 0.071978 0.0 0.628 1.59 21.03 0.0
392.0 0.07395 0.0 0.624 1.08 21.1 0.0
393.0 0.074936 0.0 0.62 0.76 21.93 0.0
394.0 0.076908 0.0 0.616 0.54 23.73 0.0
395.0 0.077894 0.0 0.612 0.37 26.15 0.0
396.0 0.07887999999999999 0.0 0.608 0.25 28.47 0.0
397.0 0.080852 0.0 0.605 0.16 29.94 0.0
398.0 0.081838 0.0 0.601 0.11 30.41 0.0
399.0 0.082824 0.0 0.597 0.08 30.43 0.0
400.0 0.08479600000000001 0.0 0.593 0.06 30.67 0.0
401.0 0.08578200000000001 0.0 0.589 0.05 31.42 0.0
402.0 0.08578200000000001 0.0 0.585 0.04 32.46 0.0
403.0 0.086768 0.0 0.581 0.03 33.17 0.0
404.0 0.087754 0.0 0.577 0.03 32.95 0.0
405.0 0.08874 0.0 0.574 0.03 31.92 0.0
406.0 0.08874 0.0 0.569 0.02 30.54 0.0
407.0 0.089726 0.0 0.565 0.02 29.55 0.0
408.0 0.089726 0.0 0.561 0.02 29.38 0.0
409.0 0.089726 0.0 0.557 0.01 30.07 0.0
410.0 0.089726 0.0 0.553 0.01 31.33 0.0
411.0 0.090712 0.0 0.548 0.0 32.62 0.0
412.0 0.090712 0.0 0.544 0.0 33.32 0.0
413.0 0.090712 0.0 0.539 0.0 33.13 0.0
414.0 0.090712 0.0 0.534 0.0 32.24 0.0
415.0 0.089726 0.0 0.529 0.0 31.07 0.0
416.0 0.089726 0.0 0.524 0.0 30.29 0.0
417.0 0.089726 0.0 0.519 0.0 30.22 0.0
418.0 0.089726 0.0 0.514 0.0 30.83 0.0
419.0 0.08874 0.0 0.508 0.0 31.88 0.0
420.0 0.08874 0.0 0.502 0.0 33.01 0.0
421.0 0.087754 0.0 0.496 0.0 33.88 0.0
422.0 0.087754 0.0 0.49 0.0 34.37 0.0
423.0 0.086768 0.0 0.484 0.0 34.54 0.0
424.0 0.08578200000000001 0.0 0.478 0.0 34.64 0.0
