wavelength ROTSEIII atm
479 0.7628 0.8171325581395349
480 0.766 0.8181976744186047
481 0.7692 0.8192627906976744
482 0.7724 0.8203279069767442
483 0.7756 0.821393023255814
484 0.7787999999999999 0.8224581395348837
485 0.782 0.8235232558139535
486 0.7852 0.8245883720930233
487 0.7884 0.8256534883720931
488 0.7916 0.8267186046511628
489 0.7948 0.8277837209302326
490 0.798 0.8288488372093024
491 0.8011999999999999 0.8299139534883722
492 0.8044 0.8309790697674418
493 0.8076 0.8320441860465116
494 0.8108 0.8331093023255814
495 0.814 0.8341744186046511
496 0.8171999999999999 0.8352395348837209
497 0.8204 0.8363046511627907
498 0.8236 0.8373697674418605
499 0.8268 0.8384348837209302
500 0.83 0.8395
501 0.8301999999999999 0.8400931558935362
502 0.8303999999999999 0.8406863117870723
